Substance_SID,Compound_CID,Data_Source,External_ID,Synonyms,Last_Modified_Date,Deposit_Date,Data_Source_Category,LTKBID,Compound Name,Severity Class,Label Section,vDILIConcern,Version,PUBCHEM_COMPOUND_CID,PUBCHEM_COMPOUND_CANONICALIZED,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_CACTVS_SUBSKEYS,PUBCHEM_IUPAC_OPENEYE_NAME,PUBCHEM_IUPAC_CAS_NAME,PUBCHEM_IUPAC_NAME_MARKUP,PUBCHEM_IUPAC_NAME,PUBCHEM_IUPAC_SYSTEMATIC_NAME,PUBCHEM_IUPAC_TRADITIONAL_NAME,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,PUBCHEM_XLOGP3,PUBCHEM_EXACT_MASS,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_CACTVS_TPSA,PUBCHEM_MONOISOTOPIC_WEIGHT,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,PUBCHEM_ATOM_DEF_STEREO_COUNT,PUBCHEM_ATOM_UDEF_STEREO_COUNT,PUBCHEM_BOND_DEF_STEREO_COUNT,PUBCHEM_BOND_UDEF_STEREO_COUNT,PUBCHEM_ISOTOPIC_ATOM_COUNT,PUBCHEM_COMPONENT_COUNT,PUBCHEM_CACTVS_TAUTO_COUNT,PUBCHEM_COORDINATE_TYPE,SMILES,PUBCHEM_XLOGP3_AA,PUBCHEM_BONDANNOTATIONS,PUBCHEM_NONSTANDARDBOND
440791122,3278,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01344,ETHACRYNIC ACID,20210312,20210312,Curation Efforts|Governmental Organizations,LT01344,ethacrynic acid,5.0,Adverse reactions,Ambiguous DILI-concern,1.0,3278,1.0,370.0,4.0,1.0,6.0,AAADccBwOAAGAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgIACAAADAagmCIyDoAABgCIAqDSCAICCAAkJEAIikFGC8gNJjOFNx6COSCkwBELrYeIzKDOIAAAIQABCARAAABCAAIQCAAAAAAAAA==,"2-[2,3-dichloro-4-(2-methylenebutanoyl)phenoxy]acetic acid","2-[2,3-dichloro-4-(2-methylene-1-oxobutyl)phenoxy]acetic acid","2-[2,3-dichloro-4-(2-methylidenebutanoyl)phenoxy]acetic acid","2-[2,3-dichloro-4-(2-methylidenebutanoyl)phenoxy]acetic acid","2-[2,3-bis(chloranyl)-4-(2-methylidenebutanoyl)phenoxy]ethanoic acid","2-[2,3-dichloro-4-(2-ethylacryloyl)phenoxy]acetic acid","InChI=1S/C13H12Cl2O4/c1-3-7(2)13(18)8-4-5-9(12(15)11(8)14)19-6-10(16)17/h4-5H,2-3,6H2,1H3,(H,16,17)",AVOLMBLBETYQHX-UHFFFAOYSA-N,,302.0112642,C13H12Cl2O4,303.13,63.6,302.0112642,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.8,"11  14  8
12  15  8
13  14  8
13  15  8
7  11  8
7  12  8",
440791121,969472,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01161,Eszopiclone,20210312,20210312,Curation Efforts|Governmental Organizations,LT01161,eszopiclone,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,969472,1.0,573.0,7.0,0.0,3.0,AAADceB7sAAEAAAAAAAAAAAAAAAAAWAAAAAsWLAAAAAAAFgB4AAAHgIAAAAACArhliY/uJMIFACoATd3fASCgC03FyAJ2CG4ftiKZvrB+7ndMYhuhwLY6WY2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"[(7S)-6-(5-chloro-2-pyridyl)-5-oxo-7H-pyrrolo[3,4-b]pyrazin-7-yl] 4-methylpiperazine-1-carboxylate","4-methyl-1-piperazinecarboxylic acid [(7S)-6-(5-chloro-2-pyridinyl)-5-oxo-7H-pyrrolo[3,4-b]pyrazin-7-yl] ester","[(7<I>S</I>)-6-(5-chloropyridin-2-yl)-5-oxo-7<I>H</I>-pyrrolo[3,4-b]pyrazin-7-yl] 4-methylpiperazine-1-carboxylate","[(7S)-6-(5-chloropyridin-2-yl)-5-oxo-7H-pyrrolo[3,4-b]pyrazin-7-yl] 4-methylpiperazine-1-carboxylate","[(7S)-6-(5-chloranylpyridin-2-yl)-5-oxidanylidene-7H-pyrrolo[3,4-b]pyrazin-7-yl] 4-methylpiperazine-1-carboxylate","4-methylpiperazine-1-carboxylic acid [(7S)-6-(5-chloro-2-pyridyl)-5-keto-7H-pyrrolo[3,4-b]pyrazin-7-yl] ester","InChI=1S/C17H17ClN6O3/c1-22-6-8-23(9-7-22)17(26)27-16-14-13(19-4-5-20-14)15(25)24(16)12-3-2-11(18)10-21-12/h2-5,10,16H,6-9H2,1H3/t16-/m0/s1",GBBSUAFBMRNDJC-INIZCTEOSA-N,,388.1050661,C17H17ClN6O3,388.8,91.8,388.1050661,0.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.5,"10  21  8
10  26  8
18  19  8
15  2  6
21  22  8
22  25  8
23  24  8
25  27  8
26  27  8
8  18  8
8  23  8
9  19  8
9  24  8",
440791120,5284555,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00677,Estropipate,20231222,20210312,Curation Efforts|Governmental Organizations,LT00677,estropipate,2.0,Adverse reactions,Ambiguous DILI-concern,2.0,5284555,1.0,650.0,7.0,3.0,2.0,AAADcfB7OABAAAAAAAAAAAAAAAAAAYAAAAA8YMEAAAAAAGDBAAAAHgAQCAAADwTBmAQyBoLAAICIAqBSADACAAAgIAAIiIEOCIgIZjKAERKQMAAk0BGIiAeIyPCPoAABAAAQAADAAAYAACAAAAAACAAAAA==,"[(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate;piperazine","piperazine;sulfuric acid [(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] ester","[(8<I>R</I>,9<I>S</I>,13<I>S</I>,14<I>S</I>)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6<I>H</I>-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate;piperazine","[(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate;piperazine","[(8R,9S,13S,14S)-13-methyl-17-oxidanylidene-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate;piperazine","piperazine;sulfuric acid [(8R,9S,13S,14S)-17-keto-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] ester","InChI=1S/C18H22O5S.C4H10N2/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19;1-2-6-4-3-5-1/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22);5-6H,1-4H2/t14-,15-,16+,18+;/m1./s1",HZEQBCVBILBTEP-ZFINNJDLSA-N,,436.2031933,C22H32N2O5S,436.6,113.0,436.2031933,0.0,30.0,4.0,0.0,0.0,0.0,0.0,2.0,-1.0,"1
5
255",C1CNCCN1.C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,,"10  19  5
11  32  5
12  33  6
20  22  8
20  23  8
22  24  8
23  25  8
24  26  8
25  26  8
9  31  6",
440791119,23676225,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02424,Estrogens  Conjugated,20231222,20210312,Curation Efforts|Governmental Organizations,,,,,,,23676225,1.0,682.0,5.0,0.0,2.0,AAADceB4OCBAAAAAAAAAAAAAAAAAAYAAAAAwYIAAAAAAAGCBAAAAGgAAAAAADwSAmAAyBoAAAACIAqBSADACAAAgIAAIiAEGCIgIJjKAERKAMAAkwBEIiAeIyPCPoAABAAAQAADAAAYAACAAAAAACAAAAA==,"sodium;[(9S,13S,14S)-13-methyl-17-oxo-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfate","sodium;[(9S,13S,14S)-13-methyl-17-oxo-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfate","sodium;[(9<I>S</I>,13<I>S</I>,14<I>S</I>)-13-methyl-17-oxo-9,11,12,14,15,16-hexahydro-6<I>H</I>-cyclopenta[a]phenanthren-3-yl] sulfate","sodium;[(9S,13S,14S)-13-methyl-17-oxo-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfate","sodium;[(9S,13S,14S)-13-methyl-17-oxidanylidene-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfate","sodium;[(9S,13S,14S)-17-keto-13-methyl-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfate","InChI=1S/C18H20O5S.Na/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19;/h3-5,10,14,16H,2,6-9H2,1H3,(H,20,21,22);/q;+1/p-1/t14-,16+,18+;/m1./s1",QTTMOCOWZLSYSV-QWAPEVOJSA-M,,370.08508916,C18H19NaO5S,370.4,91.9,370.08508916,0.0,25.0,3.0,0.0,0.0,0.0,0.0,2.0,-1.0,"1
5
255",C[C@]12CC[C@H]3C(=CCc4cc(OS(=O)(=O)[O-])ccc43)[C@@H]1CCC2=O.[Na+],,"11  29  6
18  21  8
18  22  8
21  23  8
22  24  8
23  25  8
24  25  8
8  17  5
9  26  6",2  5  7
440791118,5281037,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01001,Eprosartan,20210804,20210312,Curation Efforts|Governmental Organizations,LT01001,eprosartan,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,5281037,1.0,618.0,6.0,2.0,10.0,AAADceB7OABAAAAAAAAAAAAAAAAAAWJAAAAwAAAAAAAAAAAB8AAAHgQACAAADAjF3wS/mZcMEgisAzb3bACDgK01GrBJ2Bk4fNiIbjLgnRGUcQhswAPomaeYyDCOQAAAAAAAAACAAAAAAAAAAAAAAAAAAA==,4-[[2-butyl-5-[(E)-2-carboxy-3-(2-thienyl)prop-1-enyl]imidazol-1-yl]methyl]benzoic acid,4-[[2-butyl-5-[(E)-2-carboxy-3-thiophen-2-ylprop-1-enyl]-1-imidazolyl]methyl]benzoic acid,4-[[2-butyl-5-[(<I>E</I>)-2-carboxy-3-thiophen-2-ylprop-1-enyl]imidazol-1-yl]methyl]benzoic acid,4-[[2-butyl-5-[(E)-2-carboxy-3-thiophen-2-ylprop-1-enyl]imidazol-1-yl]methyl]benzoic acid,4-[[2-butyl-5-[(E)-3-oxidanyl-3-oxidanylidene-2-(thiophen-2-ylmethyl)prop-1-enyl]imidazol-1-yl]methyl]benzoic acid,4-[[2-butyl-5-[(E)-2-carboxy-3-(2-thienyl)prop-1-enyl]imidazol-1-yl]methyl]benzoic acid,"InChI=1S/C23H24N2O4S/c1-2-3-6-21-24-14-19(12-18(23(28)29)13-20-5-4-11-30-20)25(21)15-16-7-9-17(10-8-16)22(26)27/h4-5,7-12,14H,2-3,6,13,15H2,1H3,(H,26,27)(H,28,29)/b18-12+",OROAFUQRIXKEMV-LDADJPATSA-N,,424.14567842,C23H24N2O4S,424.5,121.0,424.14567842,0.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,"1
5
255",CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,4.5,"1  25  8
1  30  8
12  15  8
14  19  8
14  20  8
19  22  8
20  23  8
22  24  8
23  24  8
25  27  8
27  29  8
29  30  8
6  12  8
6  8  8
7  15  8
7  8  8",
440791117,5282411,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00971,epoprostenol,20231222,20210312,Curation Efforts|Governmental Organizations,LT00971,epoprostenol,7.0,Adverse reactions,Ambiguous DILI-concern,2.0,5282411,1.0,484.0,5.0,3.0,10.0,AAADcfB4OAAAAAAAAAAAAAAAAAAAAaIAAAAAAAAAAAASAAAAAAAAGgAACAAADRSggAICCAAABgCIACDSCAAACAAgIAAICAEAAAgAFBIAAQACUAAFwAAIEAPI4KwOgAAAAAAAAAAAAAAAAAAAAIQADAAAAA==,"(5Z)-5-[(3aR,4R,5R,6aS)-5-hydroxy-4-[(E,3S)-3-hydroxyoct-1-enyl]-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid","(5Z)-5-[(3aR,4R,5R,6aS)-5-hydroxy-4-[(E,3S)-3-hydroxyoct-1-enyl]-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid","(5<I>Z</I>)-5-[(3<I>a</I><I>R</I>,4<I>R</I>,5<I>R</I>,6<I>a</I><I>S</I>)-5-hydroxy-4-[(<I>E</I>,3<I>S</I>)-3-hydroxyoct-1-enyl]-3,3<I>a</I>,4,5,6,6<I>a</I>-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid","(5Z)-5-[(3aR,4R,5R,6aS)-5-hydroxy-4-[(E,3S)-3-hydroxyoct-1-enyl]-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid","(5Z)-5-[(3aR,4R,5R,6aS)-5-oxidanyl-4-[(E,3S)-3-oxidanyloct-1-enyl]-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid","(5Z)-5-[(3aR,4R,5R,6aS)-5-hydroxy-4-[(E,3S)-3-hydroxyoct-1-enyl]-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]valeric acid","InChI=1S/C20H32O5/c1-2-3-4-7-14(21)10-11-16-17-12-15(8-5-6-9-20(23)24)25-19(17)13-18(16)22/h8,10-11,14,16-19,21-22H,2-7,9,12-13H2,1H3,(H,23,24)/b11-10+,15-8-/t14-,16+,17+,18+,19-/m0/s1",KAQKFAOMNZTLHT-OZUDYXHBSA-N,,352.22497412,C20H32O5,352.5,87.0,352.22497412,0.0,25.0,5.0,0.0,2.0,0.0,0.0,1.0,-1.0,"1
5
255",CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O,2.9,"9  2  5
16  3  6
6  26  6
7  27  6
8  13  6",
440791116,443872,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01149,Eplerenone,20231222,20210312,Curation Efforts|Governmental Organizations,LT01149,eplerenone,4.0,Adverse reactions,Ambiguous DILI-concern,2.0,443872,1.0,907.0,6.0,0.0,2.0,AAADceB4OAAAAAAAAAAAAAAAEgAAAaIAAAAwYIAABIAAAGDAAAAAGgAAAAAAD1SggAICCAAABACIAqDSCAAAAAAgAAAACAEAAEgAABIAAQACAAAEwAAIAQPK7PzPgAAAAAAAAADAAAYAADAAAYAADAAAAA==,"methyl (1R,2S,9R,10R,11S,14R,15S,17R)-2,15-dimethyl-5,5'-dioxo-spiro[18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadec-6-ene-14,2'-tetrahydrofuran]-9-carboxylate","(1R,2S,9R,10R,11S,14R,15S,17R)-2,15-dimethyl-5,5'-dioxo-9-spiro[18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadec-6-ene-14,2'-oxolane]carboxylic acid methyl ester","methyl (1<I>R</I>,2<I>S</I>,9<I>R</I>,10<I>R</I>,11<I>S</I>,14<I>R</I>,15<I>S</I>,17<I>R</I>)-2,15-dimethyl-5,5&apos;-dioxospiro[18-oxapentacyclo[8.8.0.0<SUP>1,17</SUP>.0<SUP>2,7</SUP>.0<SUP>11,15</SUP>]octadec-6-ene-14,2&apos;-oxolane]-9-carboxylate","methyl (1R,2S,9R,10R,11S,14R,15S,17R)-2,15-dimethyl-5,5'-dioxospiro[18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadec-6-ene-14,2'-oxolane]-9-carboxylate","methyl (1R,2S,9R,10R,11S,14R,15S,17R)-2,15-dimethyl-5,5'-bis(oxidanylidene)spiro[18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadec-6-ene-14,2'-oxolane]-9-carboxylate","(1R,2S,9R,10R,11S,14R,15S,17R)-5,5'-diketo-2,15-dimethyl-spiro[18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadec-6-ene-14,2'-tetrahydrofuran]-9-carboxylic acid methyl ester","InChI=1S/C24H30O6/c1-21-7-4-14(25)10-13(21)11-15(20(27)28-3)19-16-5-8-23(9-6-18(26)30-23)22(16,2)12-17-24(19,21)29-17/h10,15-17,19H,4-9,11-12H2,1-3H3/t15-,16+,17-,19+,21+,22+,23-,24-/m1/s1",JUKPWJGBANNWMW-VWBFHTRKSA-N,1.4,414.20423867,C24H30O6,414.5,82.2,414.20423867,0.0,30.0,8.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,,"7  1  6
10  32  6
11  33  5
12  23  5
15  24  6
14  2  5
8  31  5
9  20  5",
440791115,5462501,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00381,Enalaprilat,20210312,20210312,Curation Efforts|Governmental Organizations,LT00381,enalaprilat,7.0,Adverse reactions,Ambiguous DILI-concern,2.0,5462501,1.0,490.0,6.0,3.0,8.0,AAADceB7OAAAAAAAAAAAAAAAAAAAAWAAAAAwAAAAAAAAAAABAAAAHgAQCAAADCjBmAQyCIPAAgCIAiHSGAACAAAgAAAIiIGIAIgKYDKAkTCUYAAklgCYiAeY2bKOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,(2S)-1-[(2S)-2-[[(1S)-1-carboxy-3-phenyl-propyl]amino]propanoyl]pyrrolidine-2-carboxylic acid,(2S)-1-[(2S)-2-[[(1S)-1-carboxy-3-phenylpropyl]amino]-1-oxopropyl]-2-pyrrolidinecarboxylic acid,(2<I>S</I>)-1-[(2<I>S</I>)-2-[[(1<I>S</I>)-1-carboxy-3-phenylpropyl]amino]propanoyl]pyrrolidine-2-carboxylic acid,(2S)-1-[(2S)-2-[[(1S)-1-carboxy-3-phenylpropyl]amino]propanoyl]pyrrolidine-2-carboxylic acid,(2S)-1-[(2S)-2-[[(2S)-1-oxidanyl-1-oxidanylidene-4-phenyl-butan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid,(2S)-1-[(2S)-2-[[(1S)-1-carboxy-3-phenyl-propyl]amino]propanoyl]proline,"InChI=1S/C18H24N2O5/c1-12(16(21)20-11-5-8-15(20)18(24)25)19-14(17(22)23)10-9-13-6-3-2-4-7-13/h2-4,6-7,12,14-15,19H,5,8-11H2,1H3,(H,22,23)(H,24,25)/t12-,14-,15-/m0/s1",LZFZMUMEGBBDTC-QEJZJMRPSA-N,-0.7,348.16852187,C18H24N2O5,348.4,107.0,348.16852187,0.0,25.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,,"20  21  8
20  22  8
21  23  8
22  24  8
23  25  8
24  25  8
13  7  5
15  7  5
8  14  5",
440791114,77993,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02024,Eletriptan,20231222,20210312,Curation Efforts|Governmental Organizations,LT02024,eletriptan,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,77993,1.0,582.0,3.0,1.0,6.0,AAADceB7MABAAAAAAAAAAAAAAAAAAWLAAAAwYAAAAAAAAFgB9AAAHAQQAAAADCjFXgS+wfPJkAqgAzRnRHDCgCAxCjAI2bg4ZJgIIOLgkZGEIAhgkADoyAcQgMAOiAACAAACAAAQAAQAAAQAAAAAAAAAAA==,5-[2-(benzenesulfonyl)ethyl]-3-[[(2R)-1-methylpyrrolidin-2-yl]methyl]-1H-indole,5-[2-(benzenesulfonyl)ethyl]-3-[[(2R)-1-methyl-2-pyrrolidinyl]methyl]-1H-indole,5-[2-(benzenesulfonyl)ethyl]-3-[[(2<I>R</I>)-1-methylpyrrolidin-2-yl]methyl]-1<I>H</I>-indole,5-[2-(benzenesulfonyl)ethyl]-3-[[(2R)-1-methylpyrrolidin-2-yl]methyl]-1H-indole,3-[[(2R)-1-methylpyrrolidin-2-yl]methyl]-5-[2-(phenylsulfonyl)ethyl]-1H-indole,5-(2-besylethyl)-3-[[(2R)-1-methylpyrrolidin-2-yl]methyl]-1H-indole,"InChI=1S/C22H26N2O2S/c1-24-12-5-6-19(24)15-18-16-23-22-10-9-17(14-21(18)22)11-13-27(25,26)20-7-3-2-4-8-20/h2-4,7-10,14,16,19,23H,5-6,11-13,15H2,1H3/t19-/m1/s1",PWVXXGRKLHYWKM-LJQANCHMSA-N,,382.17149925,C22H26N2O2S,382.5,61.6,382.17149925,0.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,4.1,"11  13  8
11  14  8
13  15  8
13  16  8
15  18  8
16  17  8
17  20  8
18  20  8
22  23  8
22  24  8
23  25  8
24  26  8
25  27  8
26  27  8
5  14  8
5  15  8
6  10  5",
440791113,5281107,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00464,Doxercalciferol,20231222,20210312,Curation Efforts|Governmental Organizations,LT00464,doxercalciferol,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,5281107,1.0,712.0,2.0,2.0,5.0,AAADcfB4MAAAAAAAAAAAAAAAAAAAAYAAAAAwYAAAAAAAAGAAAAAAGgAACAAADxSggAICAAAAAgCAAiBCAAAAAAAgAAAICAAAAAgIFAIAAQAAQAAFwAAIkAOA4MQPgAAAAAAAAAAAAAAQACAAAQAACAAAAA==,"(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(E,1R,4R)-1,4,5-trimethylhex-2-enyl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylene-cyclohexane-1,3-diol","(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylenecyclohexane-1,3-diol","(1<I>R</I>,3<I>S</I>,5<I>Z</I>)-5-[(2<I>E</I>)-2-[(1<I>R</I>,3<I>a</I><I>S</I>,7<I>a</I><I>R</I>)-1-[(<I>E</I>,2<I>R</I>,5<I>R</I>)-5,6-dimethylhept-3-en-2-yl]-7<I>a</I>-methyl-2,3,3<I>a</I>,5,6,7-hexahydro-1<I>H</I>-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol","(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol","(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidene-cyclohexane-1,3-diol","(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(E,1R,4R)-1,4,5-trimethylhex-2-enyl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylene-cyclohexane-1,3-diol","InChI=1S/C28H44O2/c1-18(2)19(3)9-10-20(4)25-13-14-26-22(8-7-15-28(25,26)6)11-12-23-16-24(29)17-27(30)21(23)5/h9-12,18-20,24-27,29-30H,5,7-8,13-17H2,1-4,6H3/b10-9+,22-11+,23-12-/t19-,20+,24+,25+,26-,27-,28+/m0/s1",HKXBNHCUPKIYDM-CGMHZMFXSA-N,,412.334130642,C28H44O2,412.6,40.5,412.334130642,0.0,30.0,7.0,0.0,3.0,0.0,0.0,1.0,-1.0,"1
5
255",C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,6.3,"25  1  6
19  23  5
26  2  5
3  11  5
4  31  6
5  32  6
9  14  6",
440791112,3157,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01313,doxazosin,20210312,20210312,Curation Efforts|Governmental Organizations,LT01313,doxazosin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,3157,1.0,678.0,9.0,1.0,4.0,AAADceB7uAAAAAAAAAAAAAAAAAAAAAAAAAA8eJECAAAAAACx9AAAHgAQAAAADBzhngYz9vdIFACoAydydAKCiCkhIqAJmCF+7JiPbqbE+d+XPCru5hva6Cew0BMOIEABAgACQABAgAIEAASAAAAAAAAAAA==,"[4-(4-amino-6,7-dimethoxy-quinazolin-2-yl)piperazin-1-yl]-(2,3-dihydro-1,4-benzodioxin-3-yl)methanone","[4-(4-amino-6,7-dimethoxy-2-quinazolinyl)-1-piperazinyl]-(2,3-dihydro-1,4-benzodioxin-3-yl)methanone","[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(2,3-dihydro-1,4-benzodioxin-3-yl)methanone","[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(2,3-dihydro-1,4-benzodioxin-3-yl)methanone","[4-(4-azanyl-6,7-dimethoxy-quinazolin-2-yl)piperazin-1-yl]-(2,3-dihydro-1,4-benzodioxin-3-yl)methanone","[4-(4-amino-6,7-dimethoxy-quinazolin-2-yl)piperazino]-(2,3-dihydro-1,4-benzodioxin-3-yl)methanone","InChI=1S/C23H25N5O5/c1-30-18-11-14-15(12-19(18)31-2)25-23(26-21(14)24)28-9-7-27(8-10-28)22(29)20-13-32-16-5-3-4-6-17(16)33-20/h3-6,11-12,20H,7-10,13H2,1-2H3,(H2,24,25,26)",RUZYUOTYCVRMRZ-UHFFFAOYSA-N,2.5,451.18556891,C23H25N5O5,451.5,112.0,451.18556891,0.0,33.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,,"16  15  3
19  21  8
19  25  8
20  22  8
20  24  8
21  27  8
22  23  8
22  26  8
24  28  8
25  30  8
26  29  8
27  31  8
28  29  8
30  31  8
8  17  8
8  20  8
9  17  8
9  23  8",
