Substance_SID,Compound_CID,Data_Source,External_ID,Synonyms,Last_Modified_Date,Deposit_Date,Data_Source_Category,LTKBID,Compound Name,Severity Class,Label Section,vDILIConcern,Version
440791203,3052776.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01204,rasagiline,20231222,20210312,Curation Efforts|Governmental Organizations,LT01204,rasagiline,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791202,4911.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01698,probenecid,20210312,20210312,Curation Efforts|Governmental Organizations,LT01698,probenecid,6.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791201,4893.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00435,prazosin,20231222,20210312,Curation Efforts|Governmental Organizations,LT00435,prazosin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791200,119570.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00991,pramipexole,20210312,20210312,Curation Efforts|Governmental Organizations,LT00991,pramipexole,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791199,135398747.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00610,pralidoxime,20210312,20210312,Curation Efforts|Governmental Organizations,LT00610,pralidoxime,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791198,4870.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01688,polythiazide,20231222,20210312,Curation Efforts|Governmental Organizations,LT01688,polythiazide,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791197,5910.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01671,pilocarpine,20231222,20210312,Curation Efforts|Governmental Organizations,LT01671,pilocarpine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791196,107807.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00955,PERINDOPRIL,20231222,20210312,Curation Efforts|Governmental Organizations,LT00955,perindopril,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791195,47811.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00216,pergolide,20210312,20210312,Curation Efforts|Governmental Organizations,LT00216,pergolide,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791194,4740.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01652,pentoxifylline,20210312,20210312,Curation Efforts|Governmental Organizations,LT01652,pentoxifylline,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791193,37720.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00956,pentosan polysulfate,20231222,20210312,Curation Efforts|Governmental Organizations,LT00956,pentosan polysulfate,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791192,135410875.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01157,Pemetrexed,20231222,20210312,Curation Efforts|Governmental Organizations,LT01157,pemetrexed,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791191,5281104.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01015,Paricalcitol,20231222,20210312,Curation Efforts|Governmental Organizations,LT01015,paricalcitol,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791190,4674.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01916,pamidronate,20231222,20210312,Curation Efforts|Governmental Organizations,LT01916,pamidronate,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791189,6337614.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01130,Palonosetron,20250421,20210312,Curation Efforts|Governmental Organizations,LT01130,palonosetron,4.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791188,4616.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00847,oxazepam,20231222,20210312,Curation Efforts|Governmental Organizations,LT00847,oxazepam,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791187,65028.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02210,oseltamivir,20231222,20210312,Curation Efforts|Governmental Organizations,LT02210,oseltamivir,3.0,Adverse reactions,Ambiguous DILI-concern,1.0
440791186,158781.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01102,Olmesartan,20250421,20210312,Curation Efforts|Governmental Organizations,LT01102,olmesartan,4.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791185,6230.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00211,norethindrone,20210312,20210312,Curation Efforts|Governmental Organizations,LT00211,norethindrone,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791184,115355.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01092,Nitisinone,20231222,20210312,Curation Efforts|Governmental Organizations,LT01092,nitisinone,7.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791183,4499.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00217,nisoldipine,20210312,20210312,Curation Efforts|Governmental Organizations,LT00217,nisoldipine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791182,4497.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01601,nimodipine,20210312,20210312,Curation Efforts|Governmental Organizations,LT01601,nimodipine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791181,4474.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01595,nicardipine,20250421,20210312,Curation Efforts|Governmental Organizations,LT01595,nicardipine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791180,71301.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01212,Nebivolol,20231222,20210312,Curation Efforts|Governmental Organizations,LT01212,nebivolol,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791179,5311309.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00594,nateglinide,20210312,20210312,Curation Efforts|Governmental Organizations,LT00594,nateglinide,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791178,4440.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01007,naratriptan,20250421,20210312,Curation Efforts|Governmental Organizations,LT01007,naratriptan,4.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791177,5388881.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01588,Nalmefene hydrochloride,20231222,20210312,Curation Efforts|Governmental Organizations,LT01588,nalmefene hydrochloride,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791176,39147.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01582,nadolol,20210312,20210312,Curation Efforts|Governmental Organizations,LT01582,nadolol,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791175,446541.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00310,mycophenolic acid,20231222,20210312,Curation Efforts|Governmental Organizations,LT00310,mycophenolic acid,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791174,34633.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01571,MORICIZINE,20250421,20210312,Curation Efforts|Governmental Organizations,LT01571,moricizine,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791173,91270.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01567,MOEXIPRIL,20231222,20210312,Curation Efforts|Governmental Organizations,LT01567,moexipril,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791172,5282381.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00922,misoprostol,20231222,20210312,Curation Efforts|Governmental Organizations,LT00922,misoprostol,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791171,4197.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00931,milrinone,20210804,20210312,Curation Efforts|Governmental Organizations,LT00931,milrinone,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791170,62937.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00946,Metoprolol succinate,20250421,20210312,Curation Efforts|Governmental Organizations,LT00946,metoprolol succinate,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791169,4170.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02046,metolazone,20231222,20210312,Curation Efforts|Governmental Organizations,LT02046,metolazone,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791168,4121.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00833,methyclothiazide,20231222,20210312,Curation Efforts|Governmental Organizations,LT00833,methyclothiazide,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791167,9034.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00803,METHOHEXITAL,20231222,20210312,Curation Efforts|Governmental Organizations,LT00803,methohexital,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791166,4107.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00581,methocarbamol,20210312,20210312,Curation Efforts|Governmental Organizations,LT00581,methocarbamol,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791165,4095.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00723,methadone,20231222,20210312,Curation Efforts|Governmental Organizations,LT00723,methadone,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791164,4078.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01527,mesoridazine,20231222,20210312,Curation Efforts|Governmental Organizations,LT01527,mesoridazine,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791163,23662354.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01526,mesna,20231222,20210312,Curation Efforts|Governmental Organizations,LT01526,mesna,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791162,4060.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01520,MEPHENYTOIN,20231222,20210312,Curation Efforts|Governmental Organizations,LT01520,mephenytoin,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791161,19090.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00220,megestrol,20231222,20210312,Curation Efforts|Governmental Organizations,LT00220,megestrol,1.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791160,10631.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01513,medroxyprogesterone,20210312,20210312,Curation Efforts|Governmental Organizations,LT01513,medroxyprogesterone,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791159,,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01227,Mecasermin,20210312,20210312,Curation Efforts|Governmental Organizations,LT01227,mecasermin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791158,16078.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00909,Marinol,20231222,20210312,Curation Efforts|Governmental Organizations,LT00909,marinol,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791157,4011.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01503,maprotiline,20250421,20210312,Curation Efforts|Governmental Organizations,LT01503,maprotiline,5.0,Adverse reactions,Ambiguous DILI-concern,1.0
440791156,3964.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01501,loxapine,20210312,20210312,Curation Efforts|Governmental Organizations,LT01501,loxapine,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791155,3948.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00574,lomefloxacin,20231222,20210312,Curation Efforts|Governmental Organizations,LT00574,lomefloxacin,4.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791154,11597698.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00571,Lisdexamfetamine,20231222,20210312,Curation Efforts|Governmental Organizations,LT00571,lisdexamfetamine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791153,5961.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00482,L-glutamine,20231222,20210312,Curation Efforts|Governmental Organizations,LT00482,l-glutamine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791152,118856773.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01013,Lepirudin,20231222,20210312,Curation Efforts|Governmental Organizations,LT01013,lepirudin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791151,,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02907,Laronidase,20210312,20210312,Curation Efforts|Governmental Organizations,LT02907,laronidase,4.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791150,71349.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00617,Lanreotide acetate,20231222,20210312,Curation Efforts|Governmental Organizations,LT00617,lanreotide acetate,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791149,6445540.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02203,Ixabepilone,20231222,20210312,Curation Efforts|Governmental Organizations,LT02203,ixabepilone,7.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791148,27661.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00340,isorbide mononitrate,20231222,20210312,Curation Efforts|Governmental Organizations,LT00340,isorbide mononitrate,3.0,Adverse reactions,Ambiguous DILI-concern,1.0
440791147,3702.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01444,indapamide,20231222,20210312,Curation Efforts|Governmental Organizations,LT01444,indapamide,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791146,71360.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00654,Iloperidone,20210804,20210312,Curation Efforts|Governmental Organizations,LT00654,iloperidone,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791145,70689311.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01258,HYDROXOCOBALAMIN,20231222,20210312,Curation Efforts|Governmental Organizations,LT01258,hydroxocobalamin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791144,5284570.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00919,hydromorphone,20231222,20210312,Curation Efforts|Governmental Organizations,LT00919,hydromorphone,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791143,3647.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00814,hydroflumethiazide,20231222,20210312,Curation Efforts|Governmental Organizations,LT00814,hydroflumethiazide,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791142,25084151.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00426,Histrelin acetate,20231222,20210312,Curation Efforts|Governmental Organizations,LT00426,histrelin acetate,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791141,52919.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02427,HALOPERIDOL DECANOATE,20210804,20210312,Curation Efforts|Governmental Organizations,LT02427,haloperidol decanoate,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791140,3520.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00708,guanidine,20231222,20210312,Curation Efforts|Governmental Organizations,LT00708,guanidine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791139,3519.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01422,GUANFACINE,20210804,20210312,Curation Efforts|Governmental Organizations,LT01422,guanfacine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791138,3510.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00557,granisetron,20231222,20210312,Curation Efforts|Governmental Organizations,LT00557,granisetron,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791137,5311128.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00939,goserelin,20231222,20210312,Curation Efforts|Governmental Organizations,LT00939,goserelin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791136,,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01419,Golimumab,20210312,20210312,Curation Efforts|Governmental Organizations,LT01419,golimumab,8.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791135,3081884.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00985,Glatiramer acetate,20231222,20210312,Curation Efforts|Governmental Organizations,LT00985,glatiramer acetate,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791134,135398740.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01406,ganciclovir,20210312,20210312,Curation Efforts|Governmental Organizations,LT01406,ganciclovir,7.0,Adverse reactions,Ambiguous DILI-concern,1.0
440791133,61635.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02064,Gallium nitrate,20250421,20210312,Curation Efforts|Governmental Organizations,LT02064,gallium nitrate,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791132,9651.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01086,Galantamine,20210312,20210312,Curation Efforts|Governmental Organizations,LT01086,galantamine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791131,60754.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00951,gadodiamide,20231222,20210312,Curation Efforts|Governmental Organizations,LT00951,gadodiamide,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791130,3440.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00299,furosemide,20231222,20210312,Curation Efforts|Governmental Organizations,LT00299,furosemide,2.0,Adverse reactions,Ambiguous DILI-concern,1.0
440791129,104741.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00401,Fulvestrant,20231222,20210312,Curation Efforts|Governmental Organizations,LT00401,fulvestrant,7.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791128,3415.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01397,foscarnet,20231222,20210312,Curation Efforts|Governmental Organizations,LT01397,foscarnet,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791127,135413538.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01257,Fosaprepitant,20231222,20210312,Curation Efforts|Governmental Organizations,LT01257,fosaprepitant,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791126,5324346.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01396,fluvoxamine,20250421,20210312,Curation Efforts|Governmental Organizations,LT01396,fluvoxamine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791125,,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01320,FILGRASTIM,20210312,20210312,Curation Efforts|Governmental Organizations,LT01320,filgrastim,1.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791124,3324.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00270,famciclovir,20250421,20210312,Curation Efforts|Governmental Organizations,LT00270,famciclovir,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791123,18477728.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01267,Everolimus,20231222,20210312,Curation Efforts|Governmental Organizations,LT01267,everolimus,4.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791122,3278.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01344,ETHACRYNIC ACID,20210312,20210312,Curation Efforts|Governmental Organizations,LT01344,ethacrynic acid,5.0,Adverse reactions,Ambiguous DILI-concern,1.0
440791121,969472.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01161,Eszopiclone,20210312,20210312,Curation Efforts|Governmental Organizations,LT01161,eszopiclone,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791120,5284555.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00677,Estropipate,20231222,20210312,Curation Efforts|Governmental Organizations,LT00677,estropipate,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791119,23676225.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02424,Estrogens  Conjugated,20231222,20210312,Curation Efforts|Governmental Organizations,,,,,,
440791118,5281037.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01001,Eprosartan,20210804,20210312,Curation Efforts|Governmental Organizations,LT01001,eprosartan,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791117,5282411.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00971,epoprostenol,20231222,20210312,Curation Efforts|Governmental Organizations,LT00971,epoprostenol,7.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791116,443872.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01149,Eplerenone,20231222,20210312,Curation Efforts|Governmental Organizations,LT01149,eplerenone,4.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791115,5462501.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00381,Enalaprilat,20210312,20210312,Curation Efforts|Governmental Organizations,LT00381,enalaprilat,7.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791114,77993.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT02024,Eletriptan,20231222,20210312,Curation Efforts|Governmental Organizations,LT02024,eletriptan,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791113,5281107.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00464,Doxercalciferol,20231222,20210312,Curation Efforts|Governmental Organizations,LT00464,doxercalciferol,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791112,3157.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01313,doxazosin,20210312,20210312,Curation Efforts|Governmental Organizations,LT01313,doxazosin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791111,73303.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00623,Doripenem,20231222,20210312,Curation Efforts|Governmental Organizations,LT00623,doripenem,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
